Year,Country,Winner,Runners-Up,Third,Fourth,Total_Goals,Qualified_Teams,Matches_Played,Attendance
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590.549
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363.0
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375.7
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1045246.0
1954,Switzerland,West Germany,Hungary,Austria,Uruguay,140,16,26,768.607
1958,Sweden,Brazil,Sweden,France,West Germany,126,16,35,819.81
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893.172
1966,England,England,West Germany,Portugal,Soviet Union,89,16,32,1563135.0
1970,Mexico,Brazil,Italy,West Germany,Uruguay,95,16,32,1603975.0
1974,Germany,West Germany,Netherlands,Poland,Brazil,97,16,38,1865753.0
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1545791.0
1982,Spain,Italy,West Germany,Poland,France,146,24,52,2109723.0
1986,Mexico,Argentina,West Germany,France,Belgium,132,24,52,2394031.0
1990,Italy,West Germany,Argentina,Italy,England,115,24,52,2516215.0
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3587538.0
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2785100.0
2002,Korea/Japan,Brazil,Germany,Turkey,South Korea,161,32,64,2705197.0
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3359439.0
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3178856.0
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3386810.0
